id;asset_name;ip;created_utc;source;category
284712;name_bounce;187.21.83.39;22/04/2024 00:00;pxtrpf;external remote service
289296;address_artichoke;174.181.0.67;16/07/2024 00:00;crowdstrike;external remote service
59296;server_spray;18.147.227.44;25/09/2024 00:00;crowdstrike;external remote service
410684;server_surge;244.101.196.83;07/06/2024 00:00;pxtrpf;external remote service
868338;name_stimulate;24.37.92.211;06/02/2024 00:00;xpklnr;external remote service
137875;address_artichoke;217.101.6.213;23/04/2024 00:00;pxtrpf;external remote service
920333;cloud_clover;134.213.33.248;01/06/2024 00:00;defender;external remote service
325499;name_bounce;205.212.155.232;16/08/2024 00:00;crowdstrike;external remote service
542606;byte_barn;164.235.149.167;26/05/2024 00:00;xpklnr;external remote service
663578;logic_lemon;185.103.147.217;26/04/2024 00:00;pxtrpf;external remote service
345596;byte_barn;164.235.149.167;29/08/2024 00:00;xpklnr;external remote service
295537;name_spray;56.165.175.235;13/07/2024 00:00;defender;external remote service
450451;address_artichoke;174.181.0.67;13/01/2024 00:00;crowdstrike;external remote service
701478;server_spray;244.110.8.40;10/02/2024 00:00;xpklnr;external remote service
82224;cloud_clover;139.224.8.197;09/04/2024 00:00;pxtrpf;external remote service
619234;server_spray;86.153.111.108;01/02/2024 00:00;crowdstrike_cs;external remote service
103729;server_utopia;204.42.170.106;25/04/2024 00:00;defender;external remote service
207050;name_spray;56.165.175.235;28/05/2024 00:00;defender;external remote service
872666;name_bounce;205.212.155.232;16/07/2024 00:00;crowdstrike;external remote service
849405;servivio;189.197.179.58;13/05/2024 00:00;crowdstrike;external remote service
501851;programming_papaya;4.2.181.21;18/06/2024 00:00;pxtrpf;external remote service
167267;clever_server;175.252.189.78;09/08/2024 00:00;xpklnr;external remote service
836307;node_nectarine;168.104.59.94;30/04/2024 00:00;xpklnr;external remote service
277755;server_phoenix;83.219.207.96;02/09/2024 00:00;xpklnr;external remote service
953993;domain_daisy;89.139.158.117;06/08/2024 00:00;pxtrpf;external remote service
626421;server_frenzy;139.170.97.22;20/04/2024 00:00;defender;external remote service
425862;node_nectarine;218.130.171.99;30/06/2024 00:00;crowdstrike;external remote service
128991;server_hype;52.154.94.15;17/04/2024 00:00;defender;external remote service
